date,mean_sentiment,polarity,sentiment_volatility,minimum_sentiment,Q1_sentiment,median_sentiment,Q3_sentiment,maximum_sentiment,IQR
2024-09-29,-0.07408039699606597,negative,0.19349460845298977,-0.2109017467562109,-0.14249107187613844,-0.07408039699606597,-0.0056697221159935085,0.06274095276407896,0.13682134976014493
2024-09-30,0.10267927108405157,positive,0.13440187830970396,0.008610823075287037,0.044524605025630444,0.0588598167523741,0.06125857346411794,0.3401425371028483,0.016733968438487498
2024-10-02,-0.10857948476701146,negative,0.19574408733948612,-0.4838310573250056,-0.1304784400396049,-0.036337339237332344,0.002668919277191152,0.06625988087877631,0.13314735931679605
2024-10-03,-0.03744184246215969,negative,0.16752810390654252,-0.2509300708770752,-0.16310568065866826,0.00864770845510065,0.05511269477400927,0.16306613599583508,0.21821837543267752
2024-10-04,0.07225853019816181,positive,0.22870569833062157,-0.30395180208683015,-0.0333452206466347,0.009144644350744784,0.20347474143616853,0.44406573982909325,0.23681996208280323
2024-10-05,0.032840154273714874,positive,0.045793847386161705,0.00045901425033807524,0.016649584262026472,0.032840154273714874,0.04903072428540327,0.06522129429709167,0.032381140023376796
2024-10-06,-0.0037315750233828816,negative,0.0,-0.0037315750233828816,-0.0037315750233828816,-0.0037315750233828816,-0.0037315750233828816,-0.0037315750233828816,0.0
2024-10-07,-0.030695823409701707,negative,0.09758878977422614,-0.23696402428401636,-0.07639175983532331,0.006109893658291539,0.026144083985127492,0.12746319907903672,0.1025358438204508
2024-10-10,0.00910184960681942,positive,0.0,0.00910184960681942,0.00910184960681942,0.00910184960681942,0.00910184960681942,0.00910184960681942,0.0
2024-10-11,-0.11203983720224696,negative,0.19793377560285913,-0.6420877964980901,-0.21788508467474021,-0.039752557946741575,0.0217493236794602,0.10217738758325577,0.2396344083542004
2024-10-12,0.07105360265225172,positive,0.07252103059506801,0.01977349013984203,0.045413546396046875,0.07105360265225172,0.09669365890845655,0.12233371516466139,0.05128011251240967
2024-10-13,-0.14768932724806946,negative,0.19510031714328627,-0.39657332096248865,-0.2516273245206801,-0.11805930151543578,-0.014121304242825126,0.0419346150010824,0.23750602027785497
2024-10-14,-0.03758949318846378,negative,0.21288120522377088,-0.47183260275051,-0.13087232087654993,-0.010036149247363197,0.05289832036360166,0.389583557844162,0.18377064124015158
2024-10-16,-0.007477490009234418,negative,0.2520251779759955,-0.42828719317913055,-0.11519058568850159,0.02531560672670599,0.13742727322829884,0.3061557813081891,0.25261785891680044
2024-10-17,0.023312869646198425,positive,0.09268318308058088,-0.12726508538816125,-0.012093347412860002,0.014520428896881639,0.0630276914847549,0.1790619997769594,0.0751210388976149
2024-10-18,0.026774329162464708,positive,0.27416159288876313,-0.5420845852192491,-0.00952759586605244,0.005094816074892861,0.03525196344482247,0.6946466863155365,0.044779559310874906
2024-10-19,-0.0502519460311532,negative,0.07579107773556253,-0.13588945883587003,-0.09715412028878921,-0.06864103652536868,-0.004076170323789115,0.05450105581805108,0.0930779499650001
2024-10-20,0.014298030209261913,positive,0.01085679906126456,0.0066211139710619996,0.010459572090161956,0.014298030209261913,0.01813648832836187,0.021974946447461827,0.007676916238199915
2024-10-21,-0.1407425027922339,negative,0.2723170390270024,-0.7948064431548119,-0.2546074883053079,0.010720444821193798,0.029761293453793025,0.0766346091404557,0.2843687817591009
2024-10-24,0.10848895760633363,positive,0.3372540791740876,-0.20529353917017576,-0.04814626339899842,0.04817940631960518,0.07050561995371245,0.7621756009757519,0.11865188335271087
2024-10-25,0.1107543731592906,positive,0.1828982797768233,-0.18978061839211732,0.007491879513859748,0.08174539438411592,0.1820288920028135,0.6190054321754724,0.17453701248895376
2024-10-27,0.04261875445178398,positive,0.01680191762163801,0.02560348622500895,0.03432869777316226,0.043053909321315566,0.0511263885651715,0.05919886780902744,0.01679769079200924
2024-10-28,0.08904348325348857,positive,0.11130421828372956,-0.14580352418124676,0.0183283542282879,0.05941838784143328,0.1761378119699657,0.3705959008572623,0.1578094577416778
2024-10-29,0.08103966934140772,positive,0.16881146641381387,-0.02211439870297908,-0.012790766498073926,0.0068279857747256725,0.10065842161420732,0.3326171045191586,0.11344918811228125
2024-10-30,0.07135569776837714,positive,0.14054635638739355,0.008678102400153875,0.012525914439233017,0.027746924889134234,0.043153630440030226,0.468451926484704,0.03062771600079721
2024-10-31,0.02728597070023726,positive,0.07057388914796686,-0.10394235846213996,0.024153813409502605,0.03471802776120601,0.07468903496991841,0.08957701447606081,0.0505352215604158
2024-11-01,-0.06699724408597686,negative,0.1827184819679449,-0.42873782105743885,-0.06627536275349558,0.021915099103748774,0.036978262051288034,0.0489063072018325,0.10325362480478362
2024-11-02,-0.011675900551490433,negative,0.0,-0.011675900551490433,-0.011675900551490433,-0.011675900551490433,-0.011675900551490433,-0.011675900551490433,0.0
2024-11-03,0.05505157525961596,positive,0.070178540862019,0.009361682459712,0.014649139717221225,0.01993659697473045,0.07789652165956792,0.1358564463444054,0.06324738194234669
2024-11-04,-0.012345514285676179,negative,0.15527632211432146,-0.16024837522618474,-0.10184165928605944,-0.06013688331246374,0.021604980155825602,0.23889436624050142,0.12344663944188504
2024-11-05,0.07852511188285423,positive,0.12797096735628294,0.0038214513015002016,0.004642560343164948,0.005463669384829695,0.11587694217353126,0.2262902149622328,0.11123438183036631
2024-11-06,0.1711575016269693,positive,0.2016598269974395,0.007688017332553848,0.024875804751319806,0.11635977132213302,0.26264146819778256,0.44422244653105736,0.23776566344646274
