date,mean_sentiment,polarity,sentiment_volatility,minimum_sentiment,Q1_sentiment,median_sentiment,Q3_sentiment,maximum_sentiment,IQR
2024-09-30,0.8676166795194149,positive,0.059123904655733854,0.8258097656071186,0.8467132225632668,0.8676166795194149,0.888520136475563,0.9094235934317112,0.041806913912296295
2024-10-02,0.0811673169955611,positive,0.0,0.0811673169955611,0.0811673169955611,0.0811673169955611,0.0811673169955611,0.0811673169955611,0.0
2024-10-09,0.0930607449263334,positive,0.0,0.0930607449263334,0.0930607449263334,0.0930607449263334,0.0930607449263334,0.0930607449263334,0.0
2024-10-10,-0.8258591629564762,negative,0.0,-0.8258591629564762,-0.8258591629564762,-0.8258591629564762,-0.8258591629564762,-0.8258591629564762,0.0
2024-10-11,-0.8796036876738071,negative,0.0,-0.8796036876738071,-0.8796036876738071,-0.8796036876738071,-0.8796036876738071,-0.8796036876738071,0.0
2024-10-15,0.5549312215298414,positive,0.0,0.5549312215298414,0.5549312215298414,0.5549312215298414,0.5549312215298414,0.5549312215298414,0.0
2024-10-16,0.3302831593900919,positive,0.5714580264355197,-0.0737986862659454,0.12824223656207326,0.3302831593900919,0.5323240822181106,0.7343650050461292,0.40408184565603733
2024-10-17,-0.2791762803681195,negative,0.4872741291980921,-0.6237311214208603,-0.4514537008944899,-0.2791762803681195,-0.1068988598417491,0.0653785606846213,0.3445548410527408
2024-10-23,-0.3153753578662872,negative,0.0,-0.3153753578662872,-0.3153753578662872,-0.3153753578662872,-0.3153753578662872,-0.3153753578662872,0.0
2024-10-28,0.3246921943500638,positive,0.36200867797310876,0.0687134033069014,0.19670279882848257,0.3246921943500638,0.452681589871645,0.5806709853932261,0.2559787910431624
2024-10-29,-0.4797718077898025,negative,0.0,-0.4797718077898025,-0.4797718077898025,-0.4797718077898025,-0.4797718077898025,-0.4797718077898025,0.0
2024-11-04,-0.8599705323576927,negative,0.0,-0.8599705323576927,-0.8599705323576927,-0.8599705323576927,-0.8599705323576927,-0.8599705323576927,0.0
2024-11-12,-0.9608925031498076,negative,0.0,-0.9608925031498076,-0.9608925031498076,-0.9608925031498076,-0.9608925031498076,-0.9608925031498076,0.0
2024-11-16,0.0762902647256851,positive,0.0,0.0762902647256851,0.0762902647256851,0.0762902647256851,0.0762902647256851,0.0762902647256851,0.0
2024-11-18,-0.3003595136106014,negative,0.4451392066232685,-0.9320503156632184,-0.4530503950081765,-0.1460590474307537,0.0066318339668214,0.0227303560823202,0.4596822289749979
2024-11-26,0.0165367163717746,positive,0.0,0.0165367163717746,0.0165367163717746,0.0165367163717746,0.0165367163717746,0.0165367163717746,0.0
2024-11-27,0.8476336225867271,positive,0.0,0.8476336225867271,0.8476336225867271,0.8476336225867271,0.8476336225867271,0.8476336225867271,0.0
2024-12-02,-0.8317144922912121,negative,0.0,-0.8317144922912121,-0.8317144922912121,-0.8317144922912121,-0.8317144922912121,-0.8317144922912121,0.0
2024-12-03,0.91032637283206,positive,0.0,0.91032637283206,0.91032637283206,0.91032637283206,0.91032637283206,0.91032637283206,0.0
2024-12-05,0.6848524305969477,positive,0.0,0.6848524305969477,0.6848524305969477,0.6848524305969477,0.6848524305969477,0.6848524305969477,0.0
2024-12-06,0.5082739107310772,positive,0.47574314723076083,0.1718727052211761,0.3400733079761266,0.5082739107310772,0.6764745134860277,0.8446751162409782,0.3364012055099011
2024-12-08,-0.0794347710907459,negative,0.0,-0.0794347710907459,-0.0794347710907459,-0.0794347710907459,-0.0794347710907459,-0.0794347710907459,0.0
2024-12-09,-0.003563834354281466,negative,0.02361286054473251,-0.0306920390576124,-0.0115304281935096,0.0076311826705932,0.010000267997384,0.0123693533241748,0.0215306961908936
2024-12-10,-0.5390133261680604,negative,0.4937789579291817,-0.967920606955886,-0.8089104937389493,-0.6499003805220127,-0.32455968577414757,0.0007810089737176,0.48435080796480173
2024-12-11,-0.022536153346300124,negative,0.9072470602296747,-0.9606161210685968,-0.9540763664990664,0.0977009236812591,0.8518890216946602,0.8524217754602432,1.8059653881937265
2024-12-16,0.6334542715921998,positive,0.43184151073084853,0.3280962109565735,0.48077524127438664,0.6334542715921998,0.7861333019100128,0.938812332227826,0.3053580606356262
2024-12-17,0.8239387180656195,positive,0.0,0.8239387180656195,0.8239387180656195,0.8239387180656195,0.8239387180656195,0.8239387180656195,0.0
2024-12-23,0.6885707750916481,positive,0.0,0.6885707750916481,0.6885707750916481,0.6885707750916481,0.6885707750916481,0.6885707750916481,0.0
2024-12-25,0.9312749467790128,positive,0.0,0.9312749467790128,0.9312749467790128,0.9312749467790128,0.9312749467790128,0.9312749467790128,0.0
2024-12-26,0.49893229966983194,positive,0.5925532676119718,0.0799338659271597,0.28943308279849583,0.49893229966983194,0.7084315165411681,0.9179307334125042,0.41899843374267226
2024-12-27,-0.019278202826778057,negative,0.9422158661662017,-0.9636805821210146,-0.4892852148041129,-0.0148898474872112,0.4529229868203402,0.9207358211278917,0.9422082016244531
2025-01-01,-0.8365467004477978,negative,0.0,-0.8365467004477978,-0.8365467004477978,-0.8365467004477978,-0.8365467004477978,-0.8365467004477978,0.0
2025-01-02,0.761860404163599,positive,0.0,0.761860404163599,0.761860404163599,0.761860404163599,0.761860404163599,0.761860404163599,0.0
2025-01-09,0.48840716108679766,positive,0.628209790553227,0.0441957581788301,0.2663014596328139,0.48840716108679766,0.7105128625407814,0.9326185639947652,0.4442114029079675
2025-01-12,0.0091177150607109,positive,0.0,0.0091177150607109,0.0091177150607109,0.0091177150607109,0.0091177150607109,0.0091177150607109,0.0
